food,Caloric Value,Fat,Saturated Fats,Sugars,Sodium
hotcakes with syrup mcdonalds,601,17.8,1.8,45.5,0.6
crispy chicken thigh kentucky fried chicken,163,9.1,2.5,0.0,0.5
corn dog,195,9.4,2.7,5.9,0.5
chicken box mcdonalds,70,4.0,0.8,0.5,0.0
potato wedges kentucky fried chicken,379,19.8,4.0,0.0,1.0
scrambled eggs mcdonalds,98,7.5,2.1,0.1,0.04
egg mcmuffin mcdonalds,287,12.2,4.5,2.7,0.8
nachos taco bell,362,21.9,4.7,0.0,0.5
biscuit large mcdonalds,310,14.4,8.3,2.7,0.9
crispy chicken strips kentucky fried chicken,129,7.2,1.4,0.0,0.4
hotcakes mcdonalds,113,2.9,0.6,4.4,0.2
chicken crispy breast kentucky fried chicken,375,23.2,5.0,0.0,0.8
hotcakes sausage mcdonalds,776,34.9,7.3,45.7,0.9
chicken mcnuggets mcdonalds,48,3.2,0.5,0.025,0.009
chips chipotle,151,7.1,0.9,2.1,0.0
biscuit mcdonalds,261,12.2,7.0,2.2,0.7
rice bowl with chicken,36,0.4,0.01,1.2,0.064
spaghetti with meatballs,200,8.2,2.9,5.8,0.6
meat ravioli canned,259,8.9,3.7,6.3,0.9
cheese ravioli canned,186,3.5,1.7,9.0,0.7
premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,4.7,13.3,1.2
steak sandwich,459,14.1,3.8,0.0,0.8
cheeseburger burger king,380,19.7,9.1,6.0,0.8
cheeseburger mcdonalds,313,14.0,5.3,7.4,0.7
double cheeseburger,643,36.9,15.9,9.5,0.9
double hamburger,942,58.6,21.6,13.2,1.1
premium grilled chicken classic sandwich mcdonalds,366,8.6,1.7,10.0,0.8
big n tasty with cheese mcdonalds,573,36.0,10.8,9.5,1.0
premium grilled chicken club sandwich mcdonalds,493,18.0,6.4,6.4,1.0
quarter pounder mcdonalds,417,19.8,6.9,8.8,0.7
premium crispy chicken classic sandwich mcdonalds,524,20.0,3.2,12.4,1.0
veggie burger,124,4.4,1.0,0.7,0.4
quarter pounder with cheese mcdonalds,513,28.3,11.2,9.8,1.2
beef sandwich steak raw,173,15.1,6.5,0.0,0.043
cheeseburger,292,13.2,6.0,5.9,0.6
premium grilled chicken ranch blt sandwich mcdonalds,412,10.9,3.0,10.5,1.0
double whopper with cheese burger king,1061,68.1,27.9,14.4,1.5
big mac mcdonalds,563,32.8,8.3,8.7,1.0
sandwich with cold cuts,833,39.3,13.9,12.4,2.2
filet o fish mcdonalds,378,19.6,3.8,4.9,0.6
hand breaded chicken tenders carls jr,57,2.9,0.6,0.0,0.0
grilled chicken sandwich wendys,370,8.0,42.0,0.0,0.0
sandwich with roast beef,410,13.0,7.1,0.0,0.8
hamburger burger king,258,10.4,3.8,5.5,0.5
big n tasty mcdonalds,524,31.7,8.6,8.8,0.7
roast beef sandwich,364,15.3,5.1,5.7,1.0
roast beef sandwich with cheese,473,18.0,9.0,0.0,1.6
hamburger,255,9.9,3.5,5.8,0.5
premium fish sandwich burger king,572,27.4,4.3,7.8,1.3
whopper burger king,790,48.4,18.3,13.0,1.4
sandwich with tuna salad,584,28.0,5.3,0.0,1.3
original chicken sandwich burger king,569,29.2,5.4,6.0,1.3
double whopper burger king,942,58.6,21.6,13.2,1.1
premium crispy chicken club sandwich mcdonalds,635,29.9,8.5,12.7,1.2
hamburger mcdonalds,251,9.6,3.3,5.7,0.5
pepperoni pizza dominos,308,12.6,5.4,4.2,0.7
sausage pizza,325,14.3,5.8,3.9,0.7
pepperoni pizza,313,13.2,5.7,3.6,0.8
pepperoni pizza pizza hut,269,10.9,5.0,3.5,0.8
cheese pizza pizza hut,260,10.5,4.8,3.2,0.7
cheese pizza,285,10.4,4.8,3.8,0.6
cheese pizza dominos,278,9.7,4.4,4.3,0.6
meat vegetable pizza,332,14.8,6.0,5.1,0.8
sucker raw,146,3.7,0.7,0.0,0.0
northern pike raw,348,2.7,0.5,0.0,0.2
haddock cooked,135,0.8,0.2,0.0,0.4
burbot cooked,104,0.9,0.2,0.0,0.1
pollock cooked,356,3.8,0.5,0.0,0.3
rainbow smelt raw,27,0.7,0.1,0.0,0.019
whitefish cooked,265,11.6,1.8,0.0,0.1
walleye pike raw,148,1.9,0.4,0.0,0.011
carp cooked,275,12.2,2.4,0.0,0.1
wolffish cooked,293,7.3,1.1,0.0,0.3
snapper cooked,218,2.9,0.6,0.0,0.066
roe cooked,58,2.3,0.5,0.0,0.055
anchovy raw,37,1.4,0.4,0.0,0.012
herring raw,291,16.6,3.8,0.0,0.2
cod raw,189,1.5,0.3,0.0,0.1
tilapia raw,111,2.0,0.7,0.0,0.009
whiting cooked,84,1.2,0.3,0.0,0.018
skipjack tuna cooked,407,4.0,1.3,0.0,0.1
salmon cooked,733,44.0,8.5,0.0,0.2
chum salmon cooked,474,14.9,3.3,0.0,0.2
american shad cooked,363,25.4,0.0,0.0,0.043
shark cooked,65,3.9,0.9,0.0,0.068
trout cooked,118,5.3,0.9,0.0,0.027
swordfish raw,196,9.0,2.2,0.0,0.1
rainbow trout cooked,119,5.2,1.2,0.0,0.041
fish sandwich with cheese,374,19.6,3.8,4.9,0.6
jellyfish dried,21,0.8,0.2,0.0,5.6
mullet raw,139,4.5,1.3,0.0,0.098
halibut cooked,353,5.1,1.1,0.0,0.3
lingcod raw,213,2.7,0.5,0.0,0.1
orange roughy cooked,30,0.3,0.046,0.0,0.079
cisco raw,77,1.5,0.3,0.0,0.042
florida pompano cooked,186,10.7,4.0,0.0,0.05
snapper raw,218,2.9,0.6,0.0,0.1
fish sandwich,565,27.4,4.3,7.8,1.3
haddock raw,143,0.9,0.2,0.0,0.4
ocean perch raw,51,1.0,0.2,0.0,0.2
cuttlefish cooked,45,0.4,0.08,0.0,0.2
cod cooked,189,1.5,0.3,0.0,0.1
seatrout raw,248,8.6,2.4,0.0,0.1
flounder raw,114,3.1,0.7,0.0,0.5
spot cooked,79,3.1,0.9,0.0,0.022
walleye pike cooked,148,1.9,0.4,0.0,0.069
perch raw,55,0.6,0.1,0.0,0.037
pumpkin seed sunfish raw,43,0.3,0.051,0.0,0.06
salt mackerel,415,34.1,9.7,0.0,6.1
mackerel cooked,231,15.7,3.7,0.0,0.064
tilapia cooked,111,2.3,0.8,0.0,0.011
drum raw,236,9.8,2.2,0.0,0.1
atlantic croaker fried,192,11.0,3.0,0.0,0.3
pumpkin seed sunfish cooked,42,0.3,0.025,0.0,0.046
wolffish raw,294,7.3,1.1,0.0,0.3
bluefin tuna cooked,276,9.4,2.4,0.0,0.02
scup cooked,68,1.8,0.0,0.0,0.061
herring cooked,290,16.6,3.7,0.0,0.2
bluefish raw,186,6.4,1.4,0.0,0.028
sheepshead cooked,234,3.0,0.7,0.0,0.1
bass cooked,91,2.9,0.6,0.0,0.078
pout cooked,279,3.2,1.1,0.0,0.2
chinook salmon raw,709,41.3,12.3,0.0,0.2
rockfish raw,172,2.6,0.7,0.0,0.1
tilefish raw,371,8.9,1.7,0.0,0.2
scup raw,174,4.5,1.1,0.0,0.082
sablefish cooked,755,59.3,12.4,0.0,0.2
tuna salad,383,19.0,3.2,0.0,0.8
coho salmon cooked,255,11.8,2.8,0.0,0.06
roe raw,20,0.9,0.2,0.0,0.052
sea bass raw,125,2.6,0.7,0.0,0.084
pink salmon cooked,349,12.0,2.2,0.0,0.2
sockeye salmon cooked,493,17.3,3.0,0.0,0.3
whitefish raw,265,11.6,1.8,0.0,0.1
greenland halibut cooked,760,56.4,9.9,0.0,0.3
northern pike cooked,350,2.7,0.5,0.0,0.2
salmon raw,824,53.1,12.1,0.0,0.2
turbot cooked,388,12.0,0.0,0.0,0.6
surimi,28,0.3,0.059,0.0,0.042
chinook salmon cooked,711,41.2,9.9,0.0,0.2
mullet cooked,140,4.5,1.3,0.0,0.001
chum salmon raw,3,0.1,0.08,0.0,0.029
butterfish raw,47,2.6,1.1,0.0,0.072
sea bass cooked,125,2.6,0.7,0.0,0.058
greenland halibut raw,759,56.5,9.9,0.0,0.3
halibut raw,371,5.4,1.2,0.0,0.3
sturgeon cooked,184,7.0,1.6,0.0,0.019
fish fillet fried,211,11.2,2.6,0.0,0.5
rainbow trout raw,111,4.9,1.1,0.0,0.022
pout raw,278,3.2,1.1,0.0,0.2
rainbow smelt cooked,35,0.9,0.2,0.0,0.047
monkfish raw,22,0.4,0.079,0.0,0.059
trout raw,117,5.2,0.9,0.0,0.051
shark raw,37,1.3,0.3,0.0,0.003
burbot raw,104,0.9,0.2,0.0,0.1
dolphinfish cooked,173,1.4,0.4,0.0,0.2
crayfish cooked,25,0.4,0.089,0.0,0.058
dolphinfish raw,173,1.4,0.4,0.0,0.2
perch cooked,54,0.5,0.1,0.0,0.043
cusk raw,106,0.8,0.2,0.0,0.086
bluefin tuna raw,41,1.4,0.4,0.0,0.013
milkfish cooked,54,2.4,0.0,0.0,0.076
carp raw,277,12.2,2.4,0.0,0.1
sturgeon raw,30,1.1,0.3,0.0,0.007
orange roughy raw,22,0.2,0.057,0.0,0.063
catfish fried,199,11.6,2.9,0.0,0.2
cuttlefish raw,22,0.2,0.002,0.0,0.1
bass raw,90,2.9,0.6,0.0,0.055
flounder cooked,109,3.0,0.7,0.0,0.5
milkfish raw,42,1.9,0.5,0.0,0.098
eel raw,375,23.8,4.8,0.0,0.1
catfish raw,189,9.4,2.1,0.0,0.2
fish sticks,78,4.5,1.0,0.5,0.1
coho salmon raw,254,12.2,2.9,0.0,0.054
monkfish cooked,27,0.6,0.0,0.0,0.004
yellowtail cooked,546,19.6,0.0,0.0,0.1
yellowfin tuna cooked,37,0.2,0.054,0.0,0.011
ling cooked,168,1.2,0.0,0.0,0.3
eel cooked,67,4.2,0.9,0.0,0.069
sablefish raw,753,59.1,12.4,0.0,0.2
salmon nuggets,60,3.3,0.4,0.0,0.005
yellowtail raw,546,19.6,4.8,0.0,0.1
butterfish cooked,47,2.6,0.0,0.0,0.042
caviar,42,2.9,0.6,0.0,0.2
pollock raw,355,3.8,0.5,0.0,0.3
catfish cooked,206,10.3,2.3,0.0,0.2
whiting raw,83,1.2,0.2,0.0,0.016
pink salmon raw,404,14.0,2.6,0.0,0.2
